Designator,Mid X,Mid Y,Rotation,Layer
C1,139.0,-98.25,0.0,top
C2,144.0,-98.25,0.0,top
C3,139.75,-83.5,0.0,top
D1,144.02,-95.75,180.0,top
D2,144.02,-93.25,180.0,top
F1,139.0,-90.75,180.0,top
J1,141.5,-114.125,0.0,top
LED1,130.2,-114.75,0.0,top
R1,139.0,-95.75,0.0,top
R2,139.0,-93.25,0.0,top
R3,130.25,-100.75,180.0,top
R4,130.25,-103.05,180.0,top
R5,130.25,-107.5,0.0,top
R6,130.25,-105.25,0.0,top
R7,130.25,-109.75,180.0,top
SW1,136.95,-62.75,90.0,top
SW2,145.95,-62.75,90.0,top
U1,114.5,-81.76,0.0,top
U2,141.5,-103.75,0.0,top
